model,temperature,reference_dataset,private_id,sample_id,n_generated_asserts,max_ngram_score,max_ngram_ref_id,leaked,leak_reason,top1_ref_id,top1_ngram,top2_ref_id,top2_ngram,top3_ref_id,top3_ngram
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_1,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_1,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_1,2,3,0.241758,mbpp_27,False,below_threshold,mbpp_27,0.241758,mbpp_604,0.225,mbpp_131,0.219178
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_2,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_2,1,2,0.3125,mbpp_687,False,below_threshold,mbpp_687,0.3125,mbpp_126,0.296296,mbpp_498,0.296296
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_2,2,3,0.458333,mbpp_718,False,below_threshold,mbpp_718,0.458333,mbpp_41,0.4,mbpp_426,0.376238
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_3,0,8,0.237288,mbpp_11,False,below_threshold,mbpp_11,0.237288,mbpp_83,0.22,mbpp_204,0.215686
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_3,1,1,0.145455,mbpp_719,False,below_threshold,mbpp_719,0.145455,mbpp_930,0.142857,mbpp_765,0.139535
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_3,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_4,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_4,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_4,2,1,0.380952,mbpp_183,False,below_threshold,mbpp_183,0.380952,mbpp_253,0.295082,mbpp_564,0.295082
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_5,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_5,1,6,0.409091,mbpp_22,False,below_threshold,mbpp_22,0.409091,mbpp_469,0.382353,mbpp_819,0.364865
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_5,2,3,0.289855,mbpp_22,False,below_threshold,mbpp_22,0.289855,mbpp_972,0.277778,mbpp_847,0.267857
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_6,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_6,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_6,2,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_7,0,6,0.382979,mbpp_131,False,below_threshold,mbpp_131,0.382979,mbpp_11,0.309091,mbpp_776,0.272727
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_7,1,5,0.44,mbpp_131,False,below_threshold,mbpp_131,0.44,mbpp_11,0.309091,mbpp_937,0.295082
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_7,2,6,0.422222,mbpp_131,False,below_threshold,mbpp_131,0.422222,mbpp_11,0.309091,mbpp_83,0.282609
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_8,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_8,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.5,mbpp,private_8,2,2,0.314607,mbpp_460,False,below_threshold,mbpp_460,0.314607,mbpp_54,0.309524,mbpp_469,0.309524
