model,temperature,reference_dataset,private_id,sample_id,n_generated_asserts,max_ngram_score,max_ngram_ref_id,leaked,leak_reason,top1_ref_id,top1_ngram,top2_ref_id,top2_ngram,top3_ref_id,top3_ngram
bigcode/starcoder2-3b,0.2,humaneval,private_1,0,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,humaneval,private_1,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,humaneval,private_2,0,8,0.565789,humaneval_145,True,ngram>=0.5,humaneval_145,0.565789,humaneval_135,0.528571,humaneval_69,0.5
bigcode/starcoder2-3b,0.2,humaneval,private_2,1,8,0.565789,humaneval_145,True,ngram>=0.5,humaneval_145,0.565789,humaneval_135,0.528571,humaneval_69,0.5
bigcode/starcoder2-3b,0.2,humaneval,private_3,0,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,humaneval,private_3,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,humaneval,private_4,0,8,0.556962,humaneval_145,True,ngram>=0.5,humaneval_145,0.556962,humaneval_135,0.520548,humaneval_69,0.513158
bigcode/starcoder2-3b,0.2,humaneval,private_4,1,6,0.556962,humaneval_145,True,ngram>=0.5,humaneval_145,0.556962,humaneval_135,0.520548,humaneval_69,0.493671
bigcode/starcoder2-3b,0.2,humaneval,private_5,0,4,0.442623,humaneval_70,False,below_threshold,humaneval_70,0.442623,humaneval_116,0.442623,humaneval_26,0.416667
bigcode/starcoder2-3b,0.2,humaneval,private_5,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,humaneval,private_6,0,8,0.375,humaneval_70,False,below_threshold,humaneval_70,0.375,humaneval_116,0.375,humaneval_74,0.363636
bigcode/starcoder2-3b,0.2,humaneval,private_6,1,6,0.507042,humaneval_70,True,ngram>=0.5,humaneval_70,0.507042,humaneval_145,0.481928,humaneval_135,0.480519
bigcode/starcoder2-3b,0.2,humaneval,private_7,0,8,0.196429,humaneval_66,False,below_threshold,humaneval_66,0.196429,humaneval_86,0.189655,humaneval_82,0.172414
bigcode/starcoder2-3b,0.2,humaneval,private_7,1,8,0.196429,humaneval_66,False,below_threshold,humaneval_66,0.196429,humaneval_86,0.189655,humaneval_82,0.172414
bigcode/starcoder2-3b,0.2,humaneval,private_8,0,8,0.42623,humaneval_26,False,below_threshold,humaneval_26,0.42623,humaneval_70,0.40625,humaneval_116,0.40625
bigcode/starcoder2-3b,0.2,humaneval,private_8,1,0,0.0,,False,no_asserts,,,,,,
bigcode/starcoder2-3b,0.2,humaneval,private_9,0,3,0.387387,humaneval_145,False,below_threshold,humaneval_145,0.387387,humaneval_129,0.356436,humaneval_70,0.340206
