model,temperature,reference_dataset,private_id,sample_id,n_generated_asserts,max_ngram_score,max_ngram_ref_id,leaked,leak_reason,top1_ref_id,top1_ngram,top2_ref_id,top2_ngram,top3_ref_id,top3_ngram
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_1,0,5,0.266667,mbpp_604,False,below_threshold,mbpp_604,0.266667,mbpp_712,0.260274,mbpp_131,0.25
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_1,1,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_1,2,3,0.260274,mbpp_712,False,below_threshold,mbpp_712,0.260274,mbpp_604,0.253521,mbpp_131,0.25
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_2,0,7,0.511905,mbpp_718,True,ngram>=0.5,mbpp_718,0.511905,mbpp_41,0.463415,mbpp_426,0.431818
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_2,1,7,0.425532,mbpp_798,False,below_threshold,mbpp_798,0.425532,mbpp_324,0.4,mbpp_45,0.385965
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_2,2,8,0.44,mbpp_152,False,below_threshold,mbpp_152,0.44,mbpp_45,0.428571,mbpp_798,0.428571
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_3,0,4,0.266667,mbpp_11,False,below_threshold,mbpp_11,0.266667,mbpp_937,0.257576,mbpp_386,0.234043
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_3,1,2,0.273973,mbpp_242,False,below_threshold,mbpp_242,0.273973,mbpp_708,0.260274,mbpp_118,0.256098
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_3,2,2,0.28,mbpp_242,False,below_threshold,mbpp_242,0.28,mbpp_937,0.265625,mbpp_118,0.261905
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_4,0,6,0.383333,mbpp_183,False,below_threshold,mbpp_183,0.383333,mbpp_221,0.339623,mbpp_953,0.339286
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_4,1,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_4,2,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_5,0,3,0.333333,mbpp_665,False,below_threshold,mbpp_665,0.333333,mbpp_793,0.333333,mbpp_134,0.322034
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_5,1,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_5,2,6,0.348837,mbpp_778,False,below_threshold,mbpp_778,0.348837,mbpp_730,0.337838,mbpp_665,0.322034
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_6,0,4,0.35443,mbpp_612,False,below_threshold,mbpp_612,0.35443,mbpp_708,0.288889,mbpp_251,0.28
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_6,1,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_6,2,4,0.217391,mbpp_125,False,below_threshold,mbpp_125,0.217391,mbpp_612,0.212766,mbpp_152,0.202532
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_7,0,8,0.395349,mbpp_131,False,below_threshold,mbpp_131,0.395349,mbpp_776,0.327273,mbpp_83,0.272727
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_7,1,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_7,2,6,0.414634,mbpp_131,False,below_threshold,mbpp_131,0.414634,mbpp_11,0.314815,mbpp_776,0.306122
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_8,0,1,0.189189,mbpp_919,False,below_threshold,mbpp_919,0.189189,mbpp_135,0.173913,mbpp_256,0.166667
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_8,1,5,0.354839,mbpp_919,False,below_threshold,mbpp_919,0.354839,mbpp_275,0.30303,mbpp_168,0.296875
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_8,2,4,0.333333,mbpp_121,False,below_threshold,mbpp_121,0.333333,mbpp_469,0.333333,mbpp_916,0.329114
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_9,0,6,0.317073,mbpp_740,False,below_threshold,mbpp_740,0.317073,mbpp_603,0.3125,mbpp_953,0.310345
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_9,1,5,0.306122,mbpp_662,False,below_threshold,mbpp_662,0.306122,mbpp_659,0.260274,mbpp_603,0.246753
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_9,2,2,0.253731,mbpp_847,False,below_threshold,mbpp_847,0.253731,mbpp_662,0.235294,mbpp_591,0.226667
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_10,0,6,0.44,mbpp_798,False,below_threshold,mbpp_798,0.44,mbpp_847,0.37037,mbpp_62,0.333333
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_10,1,4,0.363636,mbpp_524,False,below_threshold,mbpp_524,0.363636,mbpp_306,0.360465,mbpp_798,0.344828
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_10,2,0,0.0,,False,no_asserts,,,,,,
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_11,0,2,0.327869,mbpp_790,False,below_threshold,mbpp_790,0.327869,mbpp_202,0.311475,mbpp_9,0.283333
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_11,1,3,0.327869,mbpp_790,False,below_threshold,mbpp_790,0.327869,mbpp_9,0.283333,mbpp_580,0.25974
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_11,2,4,0.384615,mbpp_790,False,below_threshold,mbpp_790,0.384615,mbpp_9,0.301887,mbpp_580,0.294118
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_12,0,6,0.433962,mbpp_665,False,below_threshold,mbpp_665,0.433962,mbpp_378,0.425926,mbpp_586,0.418182
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.5,mbpp,private_12,1,3,0.425,mbpp_743,False,below_threshold,mbpp_743,0.425,mbpp_328,0.345238,mbpp_1,0.342466
