model,temperature,reference_dataset,private_id,sample_id,n_generated_asserts,max_ngram_score,max_ngram_ref_id,leaked,leak_reason,top1_ref_id,top1_ngram,top2_ref_id,top2_ngram,top3_ref_id,top3_ngram
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_1,0,2,0.256098,humaneval_125,False,below_threshold,humaneval_125,0.256098,humaneval_117,0.25,humaneval_74,0.222222
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_1,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_2,0,5,0.558442,humaneval_145,True,ngram>=0.5,humaneval_145,0.558442,humaneval_135,0.521127,humaneval_69,0.513514
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_2,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_3,0,1,0.2125,humaneval_86,False,below_threshold,humaneval_86,0.2125,humaneval_91,0.180556,humaneval_125,0.17284
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_3,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_4,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_4,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_5,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_5,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_6,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_6,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_7,0,3,0.16129,humaneval_91,False,below_threshold,humaneval_91,0.16129,humaneval_24,0.153846,humaneval_39,0.153846
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_7,1,3,0.16129,humaneval_91,False,below_threshold,humaneval_91,0.16129,humaneval_24,0.153846,humaneval_39,0.153846
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_8,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_8,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_9,0,5,0.383333,humaneval_26,False,below_threshold,humaneval_26,0.383333,humaneval_70,0.369231,humaneval_116,0.369231
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_9,1,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_10,0,0,0.0,,False,no_asserts,,,,,,
meta-llama/Llama-2-7b-chat-hf,0.2,humaneval,private_10,1,0,0.0,,False,no_asserts,,,,,,
